Program Name,University Name,City,Country,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
Computer Engineering,Colorado State University,Colorado,United States,"3,865,357 BDT / year",2 years,4.1,109,2%,https://www.mastersportal.com/studies/221490/computer-engineering.html?ref=search_card
"Cybercrime, Terrorism and Security",University of Portsmouth,England,United Kingdom,"2,754,799 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/386083/cybercrime-terrorism-and-security.html?ref=search_card
Marketing and User Experience,Bournemouth University,England,United Kingdom,"3,043,092 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/276753/marketing-and-user-experience.html?ref=search_card
Artificial Intelligence and Data Analytics,Loughborough University,England,United Kingdom,,1 year,4.4,54,2%,https://www.mastersportal.com/studies/363891/artificial-intelligence-and-data-analytics.html?ref=search_card
Computer Science,IU International University of Applied Sciences,Berlin,Germany,,2 years,4.3,284,,https://www.mastersportal.com/studies/293702/computer-science.html?ref=search_card
Game Design,Full Sail University,Florida,United States,"4,408,315 BDT / year",1 year,4.4,16,,https://www.mastersportal.com/studies/133463/game-design.html?ref=search_card
,,N/A,N/A,,,,,,
Business Analytics,Xi'an Jiaotong-Liverpool University,Suzhou,China,"2,067,550 BDT / year",1½ year,4.2,19,4%,https://www.mastersportal.com/studies/81946/business-analytics.html?ref=search_card
Data Science,Queen Mary University of London,England,United Kingdom,"5,365,451 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/475937/data-science.html?ref=search_card
Data Science,IU International University of Applied Sciences,Berlin,Germany,,1 year,4.3,284,,https://www.mastersportal.com/studies/328069/data-science.html?ref=search_card
Computer Science,University of Greenwich,England,United Kingdom,"2,995,043 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454832/computer-science.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Applied Artificial Intelligence and Data Analytics,University of Bradford,England,United Kingdom,"3,441,897 BDT / year",1 year,4.4,54,4%,https://www.mastersportal.com/studies/309550/applied-artificial-intelligence-and-data-analytics.html?ref=search_card
Digital Innovation and Research,USTP – University of Applied Sciences St. Pölten,Sankt Pölten,Austria,"423,029 BDT / year",2 years,4.6,405,,https://www.mastersportal.com/studies/292680/digital-innovation-and-research.html?ref=search_card
Advanced Computer Science,Queen Mary University of London,England,United Kingdom,"5,365,451 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/479189/advanced-computer-science.html?ref=search_card
Finance and Data Analytics,University of Brighton,England,United Kingdom,"2,866,913 BDT / year",1 year,4.1,51,4%,https://www.mastersportal.com/studies/486574/finance-and-data-analytics.html?ref=search_card
Biotechnology,Fordham University,New York,United States,"6,362,668 BDT / year",1 year,4.3,24,6%,https://www.mastersportal.com/studies/477860/biotechnology.html?ref=search_card
Data Science,London South Bank University,England,United Kingdom,"2,979,027 BDT / year",1 year,4,54,5%,https://www.mastersportal.com/studies/220766/data-science.html?ref=search_card
Business Analytics,University of York,England,United Kingdom,"5,109,191 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/466158/business-analytics.html?ref=search_card
Management of Business Information Technology,University of Greenwich,England,United Kingdom,"2,995,043 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/23573/management-of-business-information-technology.html?ref=search_card
Electronic and Computer Engineering,University of Birmingham,England,United Kingdom,"5,365,451 BDT / year",1 year,4.2,69,0.5%,https://www.mastersportal.com/studies/2880/electronic-and-computer-engineering.html?ref=search_card
Artificial Intelligence,University of York,England,United Kingdom,"5,109,191 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/373465/artificial-intelligence.html?ref=search_card
Information Technology,UWE Bristol (University of the West of England),England,United Kingdom,"2,762,807 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/79818/information-technology.html?ref=search_card
Data Science and Analytics,Brunel University of London,England,United Kingdom,"3,971,235 BDT / year",1 year,3.9,154,2%,https://www.mastersportal.com/studies/51164/data-science-and-analytics.html?ref=search_card
Digital Creative Media,Loughborough University,England,United Kingdom,"5,109,191 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/154963/digital-creative-media.html?ref=search_card
Computer Science,University of Birmingham,England,United Kingdom,"5,564,053 BDT / year",1 year,4.2,69,0.5%,https://www.mastersportal.com/studies/2902/computer-science.html?ref=search_card
SAP Engineering and Analytics,Fresenius University of Applied Sciences,Heidelberg,Germany,"1,607,508 BDT / year",2 years,4.3,13,,https://www.mastersportal.com/studies/476225/sap-engineering-and-analytics.html?ref=search_card
Cyber Security,University of Bradford,England,United Kingdom,"4,066,371 BDT / year",1 year,4.4,54,4%,https://www.mastersportal.com/studies/254410/cyber-security.html?ref=search_card
,,N/A,N/A,,,,,,
Computer Science,University of Brighton,England,United Kingdom,"2,866,913 BDT / year",1 year,4.1,51,4%,https://www.mastersportal.com/studies/448176/computer-science.html?ref=search_card
Data Science and Artificial Intelligence,Bournemouth University,England,United Kingdom,"3,003,051 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/283155/data-science-and-artificial-intelligence.html?ref=search_card
Computing and Information Systems,Liverpool John Moores University,England,United Kingdom,"2,922,970 BDT / year",1 year,4.3,145,3%,https://www.mastersportal.com/studies/140137/computing-and-information-systems.html?ref=search_card
Data Science,UWE Bristol (University of the West of England),England,United Kingdom,"2,882,929 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/293556/data-science.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Cyber Security and Resilience,USTP – University of Applied Sciences St. Pölten,Sankt Pölten,Austria,"423,029 BDT / year",2 years,4.6,405,,https://www.mastersportal.com/studies/292681/cyber-security-and-resilience.html?ref=search_card
Data Science,University of Greenwich,England,United Kingdom,"2,995,043 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/318763/data-science.html?ref=search_card
Sport and Artificial Intelligence,Loughborough University,England,United Kingdom,"4,949,028 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/476594/sport-and-artificial-intelligence.html?ref=search_card
Artificial Intelligence and Digital Health,University of Westminster,England,United Kingdom,"2,802,848 BDT / year",1 year,4.3,129,6%,https://www.mastersportal.com/studies/457296/artificial-intelligence-and-digital-health.html?ref=search_card
Cyber Security,UWE Bristol (University of the West of England),England,United Kingdom,"2,882,929 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/251481/cyber-security.html?ref=search_card
Computer Network Administration And Management,University of Portsmouth,England,United Kingdom,"3,075,124 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/4407/computer-network-administration-and-management.html?ref=search_card
Applied Artificial Intelligence,London South Bank University,England,United Kingdom,"2,979,027 BDT / year",1 year,4,54,5%,https://www.mastersportal.com/studies/468775/applied-artificial-intelligence.html?ref=search_card
Data Science and Analytics,Kennesaw State University,Georgia,United States,"2,466,452 BDT / year",2 years,4.2,18,9%,https://www.mastersportal.com/studies/130330/data-science-and-analytics.html?ref=search_card
Cyber Security and Data Analytics,Loughborough University,England,United Kingdom,"4,949,028 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/152329/cyber-security-and-data-analytics.html?ref=search_card
Data Science and Analytics,University of Westminster,England,United Kingdom,"2,802,848 BDT / year",1 year,4.3,129,6%,https://www.mastersportal.com/studies/345662/data-science-and-analytics.html?ref=search_card
Artificial Intelligence and Data Science,Bangor University,Wales,United Kingdom,"3,203,254 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/458570/artificial-intelligence-and-data-science.html?ref=search_card
Artificial Intelligence,Brunel University of London,England,United Kingdom,"3,971,235 BDT / year",1 year,3.9,154,2%,https://www.mastersportal.com/studies/307541/artificial-intelligence.html?ref=search_card
Artificial Intelligence,IU International University of Applied Sciences,Berlin,Germany,,2 years,4.3,284,,https://www.mastersportal.com/studies/328060/artificial-intelligence.html?ref=search_card
Data and Marketing Analytics,University of Westminster,England,United Kingdom,"3,123,173 BDT / year",1 year,4.3,129,6%,https://www.mastersportal.com/studies/478725/data-and-marketing-analytics.html?ref=search_card
Management and Artificial Intelligence,Loughborough University,England,United Kingdom,"4,949,028 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/476593/management-and-artificial-intelligence.html?ref=search_card
Artificial Intelligence and Machine Learning,University of Portsmouth,England,United Kingdom,"3,075,124 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/370370/artificial-intelligence-and-machine-learning.html?ref=search_card
,,N/A,N/A,,,,,,
Health Informatics,New England College,New Hampshire,United States,"1,885,289 BDT / year",1½ year,1.5,2,,https://www.mastersportal.com/studies/216594/health-informatics.html?ref=search_card
Computing Science,Utrecht University,Utrecht,Netherlands,"3,445,144 BDT / year",2 years,4.2,138,2%,https://www.mastersportal.com/studies/548/computing-science.html?ref=search_card
Applied Artificial Intelligence for Engineering,University of Greenwich,England,United Kingdom,"2,995,043 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454824/applied-artificial-intelligence-for-engineering.html?ref=search_card
Information Systems,Carl H. Lindner College of Business,Ohio,United States,"3,844,051 BDT / year",1½ year,4.2,17,3%,https://www.mastersportal.com/studies/285502/information-systems.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Artificial Intelligence,Queen Mary University of London,England,United Kingdom,"5,365,451 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/227096/artificial-intelligence.html?ref=search_card
Cyber Security and Forensic Information Technology,University of Portsmouth,England,United Kingdom,"3,075,124 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/4414/cyber-security-and-forensic-information-technology.html?ref=search_card
Wireless Communications,Liverpool John Moores University,England,United Kingdom,"2,922,970 BDT / year",2 years,4.3,145,3%,https://www.mastersportal.com/studies/274970/wireless-communications.html?ref=search_card
Artificial Intelligence,Kennesaw State University,Georgia,United States,"2,466,452 BDT / year",1 year,4.2,18,9%,https://www.mastersportal.com/studies/459234/artificial-intelligence.html?ref=search_card
Management of Technology - Information Systems,ESIEE Paris - Université Gustave Eiffel,Paris,France,"987,067 BDT / year",1½ year,4.4,12,8%,https://www.mastersportal.com/studies/9322/management-of-technology-information-systems.html?ref=search_card
Data Science and Analytics,New England College,New Hampshire,United States,"1,885,289 BDT / year",1½ year,1.5,2,,https://www.mastersportal.com/studies/386904/data-science-and-analytics.html?ref=search_card
Applied Informatics,Xi'an Jiaotong-Liverpool University,Suzhou,China,"2,067,550 BDT / year",1½ year,4.2,19,4%,https://www.mastersportal.com/studies/81839/applied-informatics.html?ref=search_card
Advanced Computer Science,Loughborough University,England,United Kingdom,"4,796,874 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/465962/advanced-computer-science.html?ref=search_card
Human-AI Interaction,Brunel University of London,England,United Kingdom,"3,971,235 BDT / year",1 year,3.9,154,2%,https://www.mastersportal.com/studies/477865/human-ai-interaction.html?ref=search_card
Cyber Security and Forensics,University of Westminster,England,United Kingdom,"2,802,848 BDT / year",1 year,4.3,129,6%,https://www.mastersportal.com/studies/134796/cyber-security-and-forensics.html?ref=search_card
Big Data Analytics Stream: Applied Modelling and Quantitative Methods,Trent University,Oshawa,Canada,"429,961 BDT / year","1 year, 4 months",4.3,46,9%,https://www.mastersportal.com/studies/137875/big-data-analytics-stream-applied-modelling-and-quantitative-methods.html?ref=search_card
Computer Science,University of Dundee,Scotland,United Kingdom,"3,795,857 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/8353/computer-science.html?ref=search_card
Computer Science,Pace University,N/A,Multiple locations,"3,067,452 BDT / year",2 years,4.1,85,,https://www.mastersportal.com/studies/138712/computer-science.html?ref=search_card
Data Science with Professional Placement,University of Essex,England,United Kingdom,"3,643,702 BDT / year",2 years,4.2,104,2%,https://www.mastersportal.com/studies/229253/data-science-with-professional-placement.html?ref=search_card
Software Design with Cloud Native Computing,Technological University of the Shannon,Athlone,Ireland,"2,467,666 BDT / year",1 year,4.2,19,,https://www.mastersportal.com/studies/352794/software-design-with-cloud-native-computing.html?ref=search_card
Financial Data Intelligence,Rennes School of Business,Rennes,France,"1,974,133 BDT / year",2 years,4.2,39,,https://www.mastersportal.com/studies/467178/financial-data-intelligence.html?ref=search_card
,,N/A,N/A,,,,,,
"Computational Neuroscience, Cognition and AI",University of Nottingham,England,United Kingdom,,1 year,4.3,127,0.5%,https://www.mastersportal.com/studies/265870/computational-neuroscience-cognition-and-ai.html?ref=search_card
Artificial Intelligence,Queen's University Belfast,N Ireland,United Kingdom,"4,132,198 BDT / year",1 year,4.3,88,2%,https://www.mastersportal.com/studies/436989/artificial-intelligence.html?ref=search_card
Management Information Systems,Lewis University,Illinois,United States,"3,251,132 BDT / year",1 year,4.7,3,,https://www.mastersportal.com/studies/482840/management-information-systems.html?ref=search_card
Business Data Analytics,Bangor University,Wales,United Kingdom,"3,283,336 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/441511/business-data-analytics.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Serious Games and Virtual Reality,The Glasgow School of Art,Scotland,United Kingdom,"4,148,215 BDT / year",1 year,4,5,,https://www.mastersportal.com/studies/234831/serious-games-and-virtual-reality.html?ref=search_card
Information Technology,Kennesaw State University,Georgia,United States,"2,466,452 BDT / year",2 years,4.2,18,9%,https://www.mastersportal.com/studies/251178/information-technology.html?ref=search_card
Computer Science (conversion),University of Bristol,England,United Kingdom,"5,685,777 BDT / year",1 year,4.3,99,0.5%,https://www.mastersportal.com/studies/10621/computer-science.html?ref=search_card
Computer Science,University of Bath,England,United Kingdom,"4,452,524 BDT / year",1 year,4.4,60,2%,https://www.mastersportal.com/studies/290049/computer-science.html?ref=search_card
Statistics and Data Science,University of Bath,England,United Kingdom,"4,452,524 BDT / year",1 year,4.4,60,2%,https://www.mastersportal.com/studies/290055/statistics-and-data-science.html?ref=search_card
Electrical and Computer Engineering,Abu Dhabi University,Abu Dhabi,United Arab Emirates,"1,559,797 BDT / year",2 years,4,105,5%,https://www.mastersportal.com/studies/293166/electrical-and-computer-engineering.html?ref=search_card
Computer Information Systems,University of Malta,Msida,Malta,"755,811 BDT / year",2½ years,4,160,5%,https://www.mastersportal.com/studies/340594/computer-information-systems.html?ref=search_card
Computing (Information Systems Processes),South East Technological University,Waterford,Ireland,"2,115,143 BDT / year",1 year,4.2,26,,https://www.mastersportal.com/studies/193782/computing.html?ref=search_card
Health Data Science for Applied Precision Medicine,University of Dundee,Scotland,United Kingdom,"4,468,540 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/313056/health-data-science-for-applied-precision-medicine.html?ref=search_card
Accounting and Data Analytics,University of Portsmouth,England,United Kingdom,"3,075,124 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/297926/accounting-and-data-analytics.html?ref=search_card
Business Analytics,The University of Exeter,England,United Kingdom,"4,916,996 BDT / year",1 year,4.3,119,1%,https://www.mastersportal.com/studies/341483/business-analytics.html?ref=search_card
Artificial Intelligence Technology with Advanced Practice,Northumbria University,England,United Kingdom,"3,355,409 BDT / year","1 year, 4 months",4.2,181,3%,https://www.mastersportal.com/studies/352593/artificial-intelligence-technology-with-advanced-practice.html?ref=search_card
Signal Processing and Communications,The University of Edinburgh,Scotland,United Kingdom,"6,278,379 BDT / year",1 year,4.1,150,0.5%,https://www.mastersportal.com/studies/126683/signal-processing-and-communications.html?ref=search_card
Software Science,Radboud University,Nijmegen,Netherlands,"2,710,767 BDT / year",2 years,4.3,92,1%,https://www.mastersportal.com/studies/171044/software-science.html?ref=search_card
User Experience Design,Edinburgh Napier University,Scotland,United Kingdom,"3,432,287 BDT / year",1 year,4.4,81,4%,https://www.mastersportal.com/studies/352357/user-experience-design.html?ref=search_card
Mental Health Research,University of York,England,United Kingdom,"3,829,491 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/425402/mental-health-research.html?ref=search_card
,,N/A,N/A,,,,,,
Business Analytics and International Business,University of Dundee,Scotland,United Kingdom,"3,683,743 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/460763/business-analytics-and-international-business.html?ref=search_card
Cheminformatics and Toxicology,University of Galway,Galway,Ireland,"3,807,257 BDT / year",1 year,4.1,86,2%,https://www.mastersportal.com/studies/237898/cheminformatics-and-toxicology.html?ref=search_card
Computer Science (Applied),Maynooth University,Maynooth,Ireland,"2,115,143 BDT / year",2 years,4.2,63,4%,https://www.mastersportal.com/studies/272888/computer-science.html?ref=search_card
Immersive Technologies (Virtual and Augmented Reality),University of Bristol,England,United Kingdom,"5,637,728 BDT / year",1 year,4.3,99,0.5%,https://www.mastersportal.com/studies/432909/immersive-technologies.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Artificial Intelligence and Machine Learning,University of Bradford,England,United Kingdom,"4,066,371 BDT / year",1 year,4.4,54,4%,https://www.mastersportal.com/studies/424876/artificial-intelligence-and-machine-learning.html?ref=search_card
Information Studies,University of Amsterdam,Amsterdam,Netherlands,"4,836,626 BDT / year",1 year,4.2,125,0.5%,https://www.mastersportal.com/studies/309189/information-studies.html?ref=search_card
Business Intelligence and Analytics,Clermont School of Business,Clermont-Ferrand,France,"1,826,073 BDT / year",1 year,4.4,53,,https://www.mastersportal.com/studies/161026/business-intelligence-and-analytics.html?ref=search_card
Digital Systems And Service Development,LUT University,Lahti,Finland,"2,115,143 BDT / year",2 years,4.7,36,3%,https://www.mastersportal.com/studies/373438/digital-systems-and-service-development.html?ref=search_card
Social Computing,Xi'an Jiaotong-Liverpool University,Suzhou,China,"2,067,550 BDT / year",1½ year,4.2,19,4%,https://www.mastersportal.com/studies/82568/social-computing.html?ref=search_card
Cyber Technology,De Montfort University,England,United Kingdom,"2,898,945 BDT / year",1 year,4.1,122,5%,https://www.mastersportal.com/studies/153982/cyber-technology.html?ref=search_card
Health Data Science,University of Birmingham Dubai,Dubai,United Arab Emirates,"5,008,990 BDT / year",1 year,4.3,7,4%,https://www.mastersportal.com/studies/347992/health-data-science.html?ref=search_card
Industrial Networks and Cybersecurity,South East Technological University,Carlow,Ireland,"2,115,143 BDT / year",1 year,4.2,26,,https://www.mastersportal.com/studies/467004/industrial-networks-and-cybersecurity.html?ref=search_card
Finance and Data Analytics,University of Stirling,Scotland,United Kingdom,"3,891,954 BDT / year",1 year,4.2,71,3%,https://www.mastersportal.com/studies/324571/finance-and-data-analytics.html?ref=search_card
Business Information Technology,Edinburgh Napier University,Scotland,United Kingdom,"3,432,287 BDT / year",1 year,4.4,81,4%,https://www.mastersportal.com/studies/36636/business-information-technology.html?ref=search_card
Computer Science,Lewis University,Illinois,United States,"3,475,222 BDT / year",1 year,4.7,3,,https://www.mastersportal.com/studies/203713/computer-science.html?ref=search_card
Information Technology,Bournemouth University,England,United Kingdom,"3,003,051 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/41856/information-technology.html?ref=search_card
Artificial Intelligence for Engineering and Design with Professional Placement,University of Bath,England,United Kingdom,"4,452,524 BDT / year",2 years,4.4,60,2%,https://www.mastersportal.com/studies/451286/artificial-intelligence-for-engineering-and-design-with-professional-placement.html?ref=search_card
Advanced Computer Science,University of Birmingham,England,United Kingdom,"5,564,053 BDT / year",1 year,4.2,69,0.5%,https://www.mastersportal.com/studies/2901/advanced-computer-science.html?ref=search_card
Information Systems,California State University Long Beach,California,United States,"2,204,157 BDT / year","1 year, 9 months",4.3,23,9%,https://www.mastersportal.com/studies/353145/information-systems.html?ref=search_card
Security and Data Science,The University of Exeter,England,United Kingdom,"4,052,117 BDT / year",1 year,4.3,119,1%,https://www.mastersportal.com/studies/447983/security-and-data-science.html?ref=search_card
,,N/A,N/A,,,,,,
Computing with Placement,Cardiff University,Wales,United Kingdom,,2 years,4.4,170,1%,https://www.mastersportal.com/studies/289971/computing-with-placement.html?ref=search_card
Applied Software Engineering,Technological University of the Shannon,Athlone,Ireland,Free,1 year,4.2,19,,https://www.mastersportal.com/studies/352790/applied-software-engineering.html?ref=search_card
Cyber-Physical Systems,Northeastern University,N/A,Multiple locations,"3,779,395 BDT / year",2 years,4.4,79,2%,https://www.mastersportal.com/studies/316518/cyber-physical-systems.html?ref=search_card
Advanced Computer Science,University of Essex,England,United Kingdom,"3,763,824 BDT / year",1 year,4.2,104,2%,https://www.mastersportal.com/studies/12939/advanced-computer-science.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
Computer Science (Network Engineering),University of Greenwich,England,United Kingdom,"2,995,043 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/254719/computer-science.html?ref=search_card
Computer Science,University of Liverpool,England,United Kingdom,"4,933,012 BDT / year",1 year,4.3,114,1%,https://www.mastersportal.com/studies/288217/computer-science.html?ref=search_card
Economics (Econometrics and Big Data),University of Surrey,England,United Kingdom,"3,491,547 BDT / year",1 year,4.4,72,2%,https://www.mastersportal.com/studies/375359/economics.html?ref=search_card
Operational Research,The University of Edinburgh,Scotland,United Kingdom,"5,317,402 BDT / year",1 year,4.1,150,0.5%,https://www.mastersportal.com/studies/235675/operational-research.html?ref=search_card
AI and Sustainable Development,University of Birmingham,England,United Kingdom,"4,864,142 BDT / year",1 year,4.2,69,0.5%,https://www.mastersportal.com/studies/476552/ai-and-sustainable-development.html?ref=search_card
Engineering,Télécom Paris,Paris,France,"683,896 BDT / year",2 years,4.3,3,4%,https://www.mastersportal.com/studies/336879/engineering.html?ref=search_card
Human Centred Artificial Intelligence for Games Development,Bournemouth University,England,United Kingdom,"3,003,051 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/412253/human-centred-artificial-intelligence-for-games-development.html?ref=search_card
Artificial Intelligence - Human Centered Intelligent Systems,Radboud University,Nijmegen,Netherlands,"2,779,861 BDT / year",2 years,4.3,92,1%,https://www.mastersportal.com/studies/114722/artificial-intelligence-human-centered-intelligent-systems.html?ref=search_card
Behavioural Economics and Data Science,University of East Anglia,England,United Kingdom,"3,635,694 BDT / year",1 year,4.4,39,2%,https://www.mastersportal.com/studies/325210/behavioural-economics-and-data-science.html?ref=search_card
Data Science and its Applications (Medway),University of Greenwich,England,United Kingdom,"2,995,043 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454819/data-science-and-its-applications.html?ref=search_card
Computer Science,Fresenius University of Applied Sciences,N/A,Multiple locations,"1,607,508 BDT / year",2 years,4.3,13,,https://www.mastersportal.com/studies/472729/computer-science.html?ref=search_card
Advanced Computing Science,University of East Anglia,England,United Kingdom,"3,923,987 BDT / year",1 year,4.4,39,2%,https://www.mastersportal.com/studies/1549/advanced-computing-science.html?ref=search_card
Computer Games Technology,University of Portsmouth,England,United Kingdom,"2,866,913 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/326525/computer-games-technology.html?ref=search_card
Data Science (Satellite Data),University of Leicester,England,United Kingdom,"3,787,848 BDT / year",1 year,4.3,91,2%,https://www.mastersportal.com/studies/344592/data-science.html?ref=search_card
Data Science and Advanced Computing,University of Reading,England,United Kingdom,"4,957,036 BDT / year",1 year,4.3,35,2%,https://www.mastersportal.com/studies/313680/data-science-and-advanced-computing.html?ref=search_card
Information Systems,Sunway University,Kuala Lumpur,Malaysia,"1,336,699 BDT / year",2 years,4.1,20,3%,https://www.mastersportal.com/studies/346644/information-systems.html?ref=search_card
,,N/A,N/A,,,,,,
Computer Science,University College Birmingham,England,United Kingdom,"2,722,766 BDT / year",1½ year,4.4,57,,https://www.mastersportal.com/studies/443760/computer-science.html?ref=search_card
Computer Science,Algoma University,N/A,Multiple locations,"2,097,089 BDT / year",2 years,4.1,29,,https://www.mastersportal.com/studies/477009/computer-science.html?ref=search_card
Cybersecurity,"University of Maryland, Baltimore County (UMBC)",Maryland,United States,"3,286,399 BDT / year",2 years,4.2,9,4%,https://www.mastersportal.com/studies/483522/cybersecurity.html?ref=search_card
Software Engineering,University of Amsterdam,Amsterdam,Netherlands,"4,836,626 BDT / year",1 year,4.2,125,0.5%,https://www.mastersportal.com/studies/31629/software-engineering.html?ref=search_card
,,N/A,N/A,,,,,,
,,N/A,N/A,,,,,,
"Sensors, Data and Management",Liverpool John Moores University,England,United Kingdom,"2,922,970 BDT / year",2 years,4.3,145,3%,https://www.mastersportal.com/studies/256454/sensors-data-and-management.html?ref=search_card
Data Science (FinTech),University of Greenwich,England,United Kingdom,"2,995,043 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454814/data-science.html?ref=search_card
Software Engineering,Kennesaw State University,Georgia,United States,"2,466,452 BDT / year",1 year,4.2,18,9%,https://www.mastersportal.com/studies/251179/software-engineering.html?ref=search_card
Information Systems,University of Portsmouth,England,United Kingdom,"3,075,124 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/4416/information-systems.html?ref=search_card
Health Data Science,University of Galway,Galway,Ireland,"3,807,257 BDT / year",1 year,4.1,86,2%,https://www.mastersportal.com/studies/449528/health-data-science.html?ref=search_card
Artificial Intelligence for the Environment,The University of Exeter,England,United Kingdom,"4,724,800 BDT / year",1 year,4.3,119,1%,https://www.mastersportal.com/studies/486481/artificial-intelligence-for-the-environment.html?ref=search_card
Robotics and Embedded AI,Maynooth University,Maynooth,Ireland,"2,538,171 BDT / year",1 year,4.2,63,4%,https://www.mastersportal.com/studies/460890/robotics-and-embedded-ai.html?ref=search_card
Statistics and Operational Research,The University of Edinburgh,Scotland,United Kingdom,"5,317,402 BDT / year",1 year,4.1,150,0.5%,https://www.mastersportal.com/studies/46532/statistics-and-operational-research.html?ref=search_card
Digital Marketing and Analytics,South East Technological University,Carlow,Ireland,"1,974,133 BDT / year",1 year,4.2,26,,https://www.mastersportal.com/studies/207030/digital-marketing-and-analytics.html?ref=search_card
Interactive Media,University College Cork,Cork,Ireland,"3,666,247 BDT / year",1 year,4.3,173,2%,https://www.mastersportal.com/studies/352511/interactive-media.html?ref=search_card
Cyber Security,University of Wolverhampton,England,United Kingdom,"2,714,758 BDT / year",1 year,4.1,105,6%,https://www.mastersportal.com/studies/252729/cyber-security.html?ref=search_card
Cyber Security with Professional Postgraduate Year,University of Surrey,England,United Kingdom,"3,988,052 BDT / year",2 years,4.4,72,2%,https://www.mastersportal.com/studies/440239/cyber-security-with-professional-postgraduate-year.html?ref=search_card
Cyber Security,Radboud University,Nijmegen,Netherlands,"2,710,767 BDT / year",2 years,4.3,92,1%,https://www.mastersportal.com/studies/114878/cyber-security.html?ref=search_card
Analytics,Northeastern University,N/A,Multiple locations,"6,651,045 BDT / year",1 year,4.4,79,2%,https://www.mastersportal.com/studies/262132/analytics.html?ref=search_card
Artificial Intelligence and Data Engineering,University of Vaasa,Vaasa,Finland,"1,974,133 BDT / year",2 years,4.3,20,8%,https://www.mastersportal.com/studies/466183/artificial-intelligence-and-data-engineering.html?ref=search_card
