Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
Netherlands,Utrecht,Utrecht University,Computing Science,"3,444,286 BDT / year",2 years,4.2,138,2%,https://www.mastersportal.com/studies/548/computing-science.html?ref=search_card
United Kingdom,England,University of Bradford,Cyber Security,"4,072,913 BDT / year",1 year,4.4,54,4%,https://www.mastersportal.com/studies/254410/cyber-security.html?ref=search_card
United Kingdom,England,Liverpool John Moores University,Computing and Information Systems,"2,927,672 BDT / year",1 year,4.3,145,3%,https://www.mastersportal.com/studies/140137/computing-and-information-systems.html?ref=search_card
United Kingdom,England,UWE Bristol (University of the West of England),Cyber Security,"2,887,567 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/251481/cyber-security.html?ref=search_card
Austria,Sankt Pölten,USTP – University of Applied Sciences St. Pölten,Digital Innovation and Research,"422,923 BDT / year",2 years,4.6,405,,https://www.mastersportal.com/studies/292680/digital-innovation-and-research.html?ref=search_card
United Kingdom,England,University of Portsmouth,"Cybercrime, Terrorism and Security","2,759,231 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/386083/cybercrime-terrorism-and-security.html?ref=search_card
United Kingdom,England,Loughborough University,Artificial Intelligence and Data Analytics,,1 year,4.4,54,2%,https://www.mastersportal.com/studies/363891/artificial-intelligence-and-data-analytics.html?ref=search_card
United States,Colorado,Colorado State University,Computer Engineering,"3,866,870 BDT / year",2 years,4.1,109,2%,https://www.mastersportal.com/studies/221490/computer-engineering.html?ref=search_card
United Kingdom,England,Bournemouth University,Marketing and User Experience,"3,047,987 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/276753/marketing-and-user-experience.html?ref=search_card
United Kingdom,England,University of Portsmouth,Computer Network Administration And Management,"3,080,071 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/4407/computer-network-administration-and-management.html?ref=search_card
United Kingdom,England,Queen Mary University of London,Data Science,"5,374,083 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/475937/data-science.html?ref=search_card
United Kingdom,England,University of Birmingham,Computer Science,"5,573,004 BDT / year",1 year,4.2,69,0.50%,https://www.mastersportal.com/studies/2902/computer-science.html?ref=search_card
United Kingdom,England,University of Greenwich,Computer Science,"2,999,861 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454832/computer-science.html?ref=search_card
